trace file : case3_dsa08/torch/trace/1781003343.6446574/bs-64-il-4096-1781003343.6546476-TP-0-DECODE.trace.json.gz
stage      : decode  (matched 8 staged files; 17 total)
events=139715  total GPU-kernel us=422236

=== CATEGORY ROLLUP (% of GPU-kernel time) ===
        tot_us      %     calls  category
        161779   38.3      3000  MoE
         63105   14.9      3910  attention
         56334   13.3     13222  other
         48748   11.5      3870  all-reduce
         38969    9.2      6198  DS-index/scoring
         34233    8.1      5540  GEMM/proj
         11357    2.7      5520  norm/rope/elementwise
          7710    1.8      3980  memcpy/set

=== TOP 30 KERNELS ===
        tot_us      %     calls  kernel
        158767   37.6      1500  fused_moe_kernel
         53361   12.6       780  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::sparse_fp8::Ker
         41801    9.9      1550  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtll
         27726    6.6      3960  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, tr
         14268    3.4      2250  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::TensorInfo<floa
         12106    2.9      1560  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 64u, 16u, 128u, 128u, 
         11567    2.7       780  void deep_gemm::sm90_fp8_paged_mqa_logits<1u, 32u, 128u, 64u, true, false, 3u, 3u, 256u, 128u, 512u,
          8288    2.0       780  (anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParams, int*, int
          7922    1.9       810  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 64u, 32u, 128u, 128u, 
          6540    1.5      1500  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float, true>, uns
          5612    1.3       780  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(CombineParams
          5547    1.3       810  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 64u, 48u, 128u, 128u, 
          5531    1.3       780  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 64u, 64u, 128u, 128u, 
          3982    0.9       750  nvjet_sm90_tst_64x32_64x16_4x2_h_bz_splitK_TNT
          3982    0.9      1500  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, fa
          3933    0.9       780  nvjet_sm90_tss_64x32_64x16_1x2_h_bz_splitK_TNT
          3803    0.9      1570  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_co
          3537    0.8      1560  void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernel
          3026    0.7      1560  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>((anonymous 
          2933    0.7       780  nvjet_sm90_tst_24x64_64x16_4x1_v_bz_TNN
          2866    0.7       750  void moe_sum_reduce_kernel<c10::BFloat16, 9>(c10::BFloat16 const*, c10::BFloat16*, long, long, long,
          2639    0.6       780  nvjet_sm90_tst_48x64_64x15_4x1_v_bz_TNN
          2415    0.6       780  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind
          2006    0.5       750  void moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, unsigned long, int*, b
          1805    0.4       780  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16o
          1664    0.4       780  void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array
          1653    0.4       750  void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<unsigned long, 2
          1557    0.4       780  (anonymous namespace)::concat_mla_absorb_q_kernel(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, in
          1462    0.3       780  _act_quant_kernel
          1449    0.3       780  _quantize_k_cache_fast_kernel
