trace file : /sgl-workspace/sglang/development/loop9/runs/20260610_m2/case1_ds/torch/trace/1781137390.3130405/bs-29-il-4096-1781137390.3214703-TP-0-DECODE.trace.json.gz
stage      : decode  (matched 8 staged files; 17 total)
events=145751  total GPU-kernel us=512687

=== CATEGORY ROLLUP (% of GPU-kernel time) ===
        tot_us      %     calls  category
        146794   28.6      3120  all-reduce
         91839   17.9      3000  MoE
         88851   17.3     19462  other
         57253   11.2      3078  DS-index/scoring
         43091    8.4      3130  attention
         42120    8.2     10970  memcpy/set
         24365    4.8      4760  GEMM/proj
         18374    3.6     11780  norm/rope/elementwise

=== TOP 30 KERNELS ===
        tot_us      %     calls  kernel
         95225   18.6       800  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::A
         88782   17.3      1500  fused_moe_kernel
         49725    9.7      1550  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtll
         43180    8.4       780  _logical_score_kernel
         32413    6.3       780  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::sparse_fp8::Ker
         30184    5.9      3180  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, tr
         19422    3.8      3120  _radix_hist_kernel
         14759    2.9      1570  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorB
         13922    2.7      2250  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::TensorInfo<floa
         11402    2.2      1590  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 128u, 128u, 
          7799    1.5       780  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(CombineParams
          7548    1.5       780  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIt
          6548    1.3      1500  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float, true>, uns
          5828    1.1       810  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 128u, 128u, 
          5690    1.1      3120  _radix_scan_kernel
          5359    1.0      2350  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_co
          5319    1.0       750  triton_per_fused_copy__mul_sum_0
          4086    0.8       780  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 128u, 128u, 
          4021    0.8      1500  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, fa
          3993    0.8      4690  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1u
          3871    0.8       750  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
          3616    0.7       780  _block_count_kernel
          3569    0.7       780  _emit_kernel
          3418    0.7       780  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_interna
          3049    0.6       780  nvjet_sm90_tst_64x8_64x16_1x2_h_bz_TNT
          2830    0.6       780  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
          2509    0.5       780  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind
          2125    0.4      1560  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at::native::Opa
          2075    0.4       780  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at::native::Opa
          2019    0.4       780  _logical_to_physical_kernel
