trace file : case3_dsa08/torch/trace/1781287874.0456023/bs-64-il-4096-1781287874.0546472-TP-0-DECODE.trace.json.gz
stage      : decode  (matched 8 staged files; 17 total)
events=139847  total GPU-kernel us=426658

=== CATEGORY ROLLUP (% of GPU-kernel time) ===
        tot_us      %     calls  category
        161498   37.9      3000  MoE
         63832   15.0      3910  attention
         57256   13.4     13222  other
         50617   11.9      3870  all-reduce
         39035    9.1      6198  DS-index/scoring
         35210    8.3      5540  GEMM/proj
         11448    2.7      5520  norm/rope/elementwise
          7763    1.8      3980  memcpy/set

=== TOP 30 KERNELS ===
        tot_us      %     calls  kernel
        158441   37.1      1500  fused_moe_kernel
         53490   12.5       780  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::sparse_fp8::Ker
         41784    9.8      1550  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtll
         28047    6.6      3960  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, tr
         14258    3.3      2250  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::TensorInfo<floa
         12871    3.0      1560  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 64u, 16u, 128u, 128u, 
         11551    2.7       780  void deep_gemm::sm90_fp8_paged_mqa_logits<1u, 32u, 128u, 64u, true, false, 3u, 3u, 256u, 128u, 512u,
          8353    2.0       780  (anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParams, int*, int
          7991    1.9       810  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 64u, 32u, 128u, 128u, 
          6533    1.5      1500  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float, true>, uns
          6156    1.4       780  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(CombineParams
          5564    1.3       810  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 64u, 48u, 128u, 128u, 
          5552    1.3       780  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 64u, 64u, 128u, 128u, 
          4156    1.0      1500  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, fa
          4112    1.0       780  nvjet_sm90_tss_64x32_64x16_1x2_h_bz_splitK_TNT
          4020    0.9       750  nvjet_sm90_tst_64x32_64x16_4x2_h_bz_splitK_TNT
          3833    0.9      1570  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_co
          3560    0.8      1560  void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernel
          3038    0.7      1560  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>((anonymous 
          3021    0.7       750  void moe_sum_reduce_kernel<c10::BFloat16, 9>(c10::BFloat16 const*, c10::BFloat16*, long, long, long,
          2961    0.7       780  nvjet_sm90_tst_24x64_64x16_4x1_v_bz_TNN
          2766    0.6       780  nvjet_sm90_tst_48x64_64x15_4x1_v_bz_TNN
          2573    0.6       780  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind
          2003    0.5       750  void moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, unsigned long, int*, b
          1808    0.4       780  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16o
          1803    0.4        20  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::A
          1785    0.4       780  void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, flo
          1664    0.4       780  void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array
          1588    0.4       750  void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<unsigned long, 2
          1550    0.4       780  (anonymous namespace)::concat_mla_absorb_q_kernel(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, in
